gene,chembl_id,total,p1,p2,p3,approved
CD86,CHEMBL2364156,2,0,0,0,2
CD80,CHEMBL2364157,3,0,0,1,2
TNF,CHEMBL1825,15,0,7,3,5
PTGS2,CHEMBL230,17,0,3,3,11
MC2R,CHEMBL1965,4,0,0,0,4
SLC29A1,CHEMBL1997,1,0,0,0,1
DHFR,CHEMBL202,9,0,1,0,8
NR3C1,CHEMBL2034,75,1,7,3,64
MS4A1,CHEMBL2058,19,2,4,2,11
FKBP1A,CHEMBL1902,7,1,0,1,5
IL6R,CHEMBL2364155,4,0,1,1,2
IL1R1,CHEMBL1959,3,0,2,0,1
PPAT,CHEMBL2362992,3,0,0,0,3
TNFSF13B,CHEMBL2364158,7,0,3,3,1
DHODH,CHEMBL1966,6,0,3,1,2
TNFSF11,CHEMBL2364162,1,0,0,0,1
CCR5,CHEMBL274,12,2,5,4,1
IL1B,CHEMBL1909490,5,1,0,2,2
HMGCR,CHEMBL402,10,0,0,0,10
FDPS,CHEMBL1782,6,0,0,0,6
IL17A,CHEMBL3390822,11,0,5,3,3
JAK1,CHEMBL2835,17,2,4,2,9
JAK2,CHEMBL2971,25,4,6,1,14
TYK2,CHEMBL3553,8,0,2,1,5
JAK3,CHEMBL2148,13,2,5,0,6
MAPK14,CHEMBL260,35,15,18,2,0
CD4,CHEMBL2754,10,0,7,2,1
IL6,CHEMBL1795129,9,1,2,5,1
GMPS,CHEMBL5721,1,0,0,1,0
CD3E,CHEMBL1975,7,1,2,3,1
SYK,CHEMBL2599,14,1,9,2,2
FGFR3,CHEMBL2742,9,0,5,2,2
KIT,CHEMBL1936,34,1,9,10,14
LTA,CHEMBL2059,1,0,1,0,0
IL22,CHEMBL3712915,1,0,1,0,0
BTK,CHEMBL5251,22,1,8,7,6
TNFSF13,CHEMBL3713436,2,0,1,1,0
CD19,CHEMBL3390821,17,2,4,2,8
IL17RA,CHEMBL3580485,1,0,0,0,1
CSF2,CHEMBL3712955,6,0,3,3,0
P2RX7,CHEMBL4805,5,1,3,0,0
MAPKAPK5,CHEMBL3094,1,0,1,0,0
CSF1R,CHEMBL1844,20,5,4,4,7
FLT3,CHEMBL1974,45,11,13,7,14
MMP9,CHEMBL321,5,0,3,2,0
CCR1,CHEMBL2413,3,0,3,0,0
HRH4,CHEMBL3759,3,0,3,0,0
TNFSF14,CHEMBL3712914,2,0,2,0,0
MAPK11,CHEMBL3961,3,1,0,1,1
PPIA,CHEMBL1949,3,0,1,1,1
FAAH,CHEMBL2243,3,0,2,0,1
TRPV1,CHEMBL4794,18,4,9,3,2
LTB4R,CHEMBL3911,2,0,2,0,0
HRH1,CHEMBL231,72,0,9,3,60
ACE,CHEMBL1808,17,0,2,1,14
ALOX5,CHEMBL215,8,0,2,0,6
IFNG,CHEMBL3286073,3,1,1,0,1
MMP13,CHEMBL280,6,0,3,0,3
ADAM17,CHEMBL3706,1,0,1,0,0
PLA2G4A,CHEMBL3816,1,0,1,0,0
IL15,CHEMBL3712954,1,0,1,0,0
PPARG,CHEMBL235,31,2,12,10,7
CXCL10,CHEMBL3712964,2,0,2,0,0
IFNAR1,CHEMBL1887,1,0,0,0,1
MAP2K1,CHEMBL3587,17,4,7,1,5
MAP2K2,CHEMBL2964,16,4,6,1,5
TLR7,CHEMBL5936,11,0,9,0,2
TLR9,CHEMBL5804,9,0,3,5,1
HRH2,CHEMBL1941,12,0,0,1,11
PTAFR,CHEMBL250,2,0,1,0,1
MIF,CHEMBL2085,2,0,1,1,0
TRAF3IP2,CHEMBL4523586,1,0,0,1,0
KEAP1,CHEMBL2069156,3,0,0,0,3
CD52,CHEMBL1912,2,0,1,0,1
CD28,CHEMBL5191,2,0,2,0,0
TNFSF12,CHEMBL3713023,2,1,1,0,0
SPP1,CHEMBL1741309,1,0,1,0,0
IL20,CHEMBL3713449,1,0,1,0,0
ADORA3,CHEMBL256,3,1,0,2,0
CSF1,CHEMBL3989382,2,0,2,0,0
GNRHR,CHEMBL1855,25,0,4,3,18
NOS2,CHEMBL4481,2,0,2,0,0
IRAK4,CHEMBL3778,1,0,1,0,0
PTGER4,CHEMBL1836,3,0,3,0,0
IL17F,CHEMBL4630880,2,0,0,1,1
CX3CL1,CHEMBL4630883,1,0,1,0,0
PIKFYVE,CHEMBL1938222,2,0,2,0,0
CCR2,CHEMBL4015,10,0,9,1,0
CD40,CHEMBL1250358,11,0,11,0,0
CD40LG,CHEMBL3580491,6,0,3,3,0
TNFRSF13C,CHEMBL4630882,1,0,0,1,0
NR1H4,CHEMBL2047,9,0,5,1,3
OPRD1,CHEMBL236,6,0,4,0,2
RIPK1,CHEMBL5464,1,0,1,0,0
NR3C2,CHEMBL1994,17,1,2,3,11
VKORC1,CHEMBL1930,7,0,0,2,5
FCGRT,CHEMBL5966,5,0,1,2,2
PDE3A,CHEMBL241,5,0,0,0,5
CNR1,CHEMBL218,13,1,5,3,4
IGF1R,CHEMBL1957,20,5,8,3,4
VDR,CHEMBL1977,18,1,6,4,7
GLP2R,CHEMBL5844,3,0,1,1,1
RARB,CHEMBL2008,1,0,0,0,1
RARA,CHEMBL2055,2,0,1,0,1
ITGB7,CHEMBL2979,1,0,0,1,0
CCR9,CHEMBL5815,2,1,0,1,0
GHR,CHEMBL1976,6,0,0,0,6
MADCAM1,CHEMBL4467,1,0,0,1,0
IL13,CHEMBL3580486,8,1,3,1,3
MMP7,CHEMBL4073,4,0,0,1,3
MMP8,CHEMBL4588,5,0,2,0,3
MMP1,CHEMBL332,5,0,1,1,3
ESR2,CHEMBL242,8,0,4,1,3
HDAC1,CHEMBL325,2,0,1,0,1
HDAC3,CHEMBL1829,2,0,1,0,1
HDAC6,CHEMBL1865,2,0,1,0,1
HDAC2,CHEMBL1937,2,0,1,0,1
CSF3R,CHEMBL1996,10,0,3,2,5
S1PR5,CHEMBL2274,2,0,0,0,2
IL18,CHEMBL1741305,3,0,2,1,0
CNR2,CHEMBL253,8,1,7,0,0
S1PR1,CHEMBL4333,8,0,0,2,6
SCN5A,CHEMBL1980,7,0,2,0,5
SCN4A,CHEMBL2072,4,0,0,0,4
SLC5A2,CHEMBL3884,16,0,4,2,10
CXCR2,CHEMBL2434,6,0,4,2,0
CCL11,CHEMBL3286077,1,0,1,0,0
ITGA2,CHEMBL4998,1,0,1,0,0
XDH,CHEMBL1929,6,0,2,0,4
GPR84,CHEMBL3714079,2,0,2,0,0
SIRT1,CHEMBL4506,2,0,2,0,0
FFAR2,CHEMBL5493,1,0,1,0,0
TLR2,CHEMBL4163,2,0,2,0,0
CD14,CHEMBL2384897,2,0,2,0,0
TNFRSF4,CHEMBL3989383,5,0,3,2,0
MAP3K8,CHEMBL4899,1,0,1,0,0
REN,CHEMBL286,4,0,2,1,1
IL4R,CHEMBL3580490,1,0,0,0,1
S1PR4,CHEMBL3230,1,0,0,0,1
OSMR,CHEMBL4630885,1,0,1,0,0
IL1A,CHEMBL3580496,2,0,0,2,0
CD2,CHEMBL2040,2,0,1,0,1
SLC6A4,CHEMBL228,35,0,4,2,29
SLC6A2,CHEMBL222,65,0,4,4,57
DRD2,CHEMBL217,68,0,11,13,44
PPP3CA,CHEMBL4445,1,0,0,0,1
MAP3K1,CHEMBL3956,1,0,1,0,0
NTRK1,CHEMBL2815,8,2,3,1,2
NTRK2,CHEMBL4898,4,2,0,1,1
NTRK3,CHEMBL5608,4,2,0,1,1
RET,CHEMBL2041,15,2,2,2,9
CYP26A1,CHEMBL5141,1,0,1,0,0
PTH1R,CHEMBL1793,7,0,1,0,6
ICOSLG,CHEMBL3712949,1,0,1,0,0
CASP1,CHEMBL4801,2,0,2,0,0
